% Model,grating_2D_bands.mph
% Version,COMSOL 5.3.0.223
% Date,"Sep 12 2019, 12:27"
% Table,Table 2 - Global Evaluation 3 (emw.freq)
% Kx,"Solution=1, Frequency (Hz)","Solution=2, Frequency (Hz)","Solution=3, Frequency (Hz)","Solution=4, Frequency (Hz)","Solution=5, Frequency (Hz)","Solution=6, Frequency (Hz)","Solution=7, Frequency (Hz)","Solution=8, Frequency (Hz)","Solution=9, Frequency (Hz)","Solution=10, Frequency (Hz)","Solution=11, Frequency (Hz)","Solution=12, Frequency (Hz)","Solution=13, Frequency (Hz)","Solution=14, Frequency (Hz)","Solution=15, Frequency (Hz)","Solution=16, Frequency (Hz)","Solution=17, Frequency (Hz)","Solution=18, Frequency (Hz)","Solution=19, Frequency (Hz)","Solution=20, Frequency (Hz)","Solution=21, Frequency (Hz)","Solution=22, Frequency (Hz)","Solution=23, Frequency (Hz)","Solution=24, Frequency (Hz)","Solution=25, Frequency (Hz)","Solution=26, Frequency (Hz)","Solution=27, Frequency (Hz)","Solution=28, Frequency (Hz)","Solution=29, Frequency (Hz)","Solution=30, Frequency (Hz)","Solution=31, Frequency (Hz)","Solution=32, Frequency (Hz)","Solution=33, Frequency (Hz)","Solution=34, Frequency (Hz)","Solution=35, Frequency (Hz)"
0.001,1.148225800202374E-4,1.1485340419314383E-4,1.2746278666437677E-4,1.274669754133603E-4,1.282043799223016E-4,1.2820701797956443E-4,1.5924677434012922E-4,1.5976007023933323E-4,1.76555218677013E-4,1.768238299050079E-4,2.3907078028913254E-4,2.3917036242543073E-4,3.1184194091428424E-4,3.333780563493152E-4,3.4173075688114234E-4,3.5350656347858233E-4,3.5440638723055804E-4,3.597743289175308E-4,3.692022504031889E-4,3.836846649301686E-4,3.9532781496352587E-4,3.988421846187401E-4,4.0060977911086747E-4,4.1390280201707993E-4,4.146361572716682E-4,4.20124291158173E-4,4.365044420015172E-4,4.383355160100961E-4,4.383808011486245E-4,4.4370549918143167E-4,4.506905908219831E-4,4.5381213796105436E-4,4.5416467350941313E-4,4.609116555851329E-4,4.6207849489937966E-4
0.101,2.333126632731074E-12,2.0081086373180314E-11,3.8540629862224266E-11,5.0268516226091565E-11,8.705685826711817E-11,3.8607011753519653E-10,2.56723846954435E-9,4.134766135870042E-9,4.0546150144776763E-8,8.196315742559921E-8,8.675570359102807E-8,1.0651274371085063E-7,2.990597524459796E-7,3.243158965585063E-7,3.353137966136925E-7,4.756554519228433E-7,5.319172561968904E-7,5.674479245475462E-7,6.634594601902056E-7,7.323235214729555E-7,8.374661523906255E-7,8.701338420135959E-7,9.146453217301769E-7,0.049456301036604554,0.049489602863270844,0.06219464877211026,0.10310260399619235,0.10404289140478278,0.12060244892581529,0.1256408818283486,0.18771584696287838,0.1877557443067904,0.20480291452232685,0.2078031497178454,0.269640887626396
0.201,5.796624561398744E-10,6.225943441749069E-10,1.3093942262666516E-9,2.6169970395992393E-9,3.027843872640076E-9,4.936788360149706E-9,2.3048590463862442E-7,5.412371535753463E-7,7.008714085724432E-7,8.498680401349811E-7,8.70535754862939E-7,0.07551358929523551,0.0980871409652657,0.10668794350735575,0.13193872808056376,0.13501390416262166,0.14491602597299794,0.15190021512265364,0.20444403376055753,0.20569528409802532,0.22084250490328416,0.2243222590697175,0.28001130074419994,0.2846550794015275,0.3057705979360929,0.30808618617544004,0.3303677420156526,0.3623161061942141,0.364137730773777,0.39556146525070734,0.3964836853816618,0.40499492768079814,0.41604570862758206,0.4248481174003662,0.4786828339728587
0.30100000000000005,9.540059095605207E-14,1.7586549088971214E-13,3.3519450100707385E-13,4.0604586952644296E-13,1.6239003499218623E-12,1.284827646232904E-10,2.3446256295390546E-9,3.6398564577961653E-9,9.568002048903698E-9,1.594848429702462E-8,3.164691239847325E-8,4.6947706895638765E-8,6.87891738051715E-8,8.315621304379274E-8,2.7104028117387854E-7,3.090608450427878E-7,4.5046966109913946E-7,5.064212423671901E-7,5.178897033897285E-7,5.265261603356143E-7,5.66441983317315E-7,5.676197171399134E-7,6.616382314523762E-7,7.395913179627147E-7,8.403966319523278E-7,8.78481193579336E-7,9.159641789101344E-7,0.099683233962828,0.1457453674176197,0.15452923254158707,0.16951683322288094,0.1749780131185761,0.18065619550489193,0.18782271222296884,0.22965268748432274
0.401,2.847690589329477E-9,1.8834858888617706E-8,2.243266059747514E-8,5.179614699579542E-8,1.07770261566599E-7,1.7904148150716187E-7,2.7710582859516413E-7,5.519922482582641E-7,6.891442152185827E-7,8.685835625149969E-7,9.101299916079553E-7,0.12104726511222953,0.19092863573829397,0.20334099935647718,0.21163693091361668,0.21890419445877038,0.2227906355232051,0.22886213159965346,0.2610495537627442,0.26449643022062785,0.27762898993749474,0.28117533685996204,0.30828705486041247,0.3255192697361531,0.3359591244291487,0.35004552266418754,0.35103783125672056,0.3649219290029769,0.3909348519306079,0.427795628510988,0.4298790925849504,0.4306368656063576,0.437376268502686,0.4476768229759267,0.4853905352817284
0.501,4.319120413702941E-9,1.117285268458985E-8,1.2273296916802678E-7,1.472312601836841E-7,1.662814174686074E-7,3.5552565394374697E-7,4.4389732218535143E-7,6.924568920385684E-7,8.640704515620425E-7,8.692639337350227E-7,0.14045529366338486,0.23127564098807918,0.2525269387088599,0.25723148067006335,0.26421642308693644,0.2680298690924308,0.27260862249379075,0.29307967404720126,0.2969945813578237,0.3141850805871655,0.3154092549013946,0.3172488543368978,0.3410328669512908,0.35333430066020916,0.379587854488741,0.3801674001654809,0.3898004949698522,0.40368444924134134,0.4356172836407805,0.4540724087933163,0.4546084567252757,0.4559014563834508,0.4603718113327052,0.496624124617702,0.5080221038909765
0.6010000000000001,2.0741663875759593E-8,2.3146929323046464E-8,2.9427573846526074E-8,8.223045791953764E-8,1.4455377802040698E-7,4.304390685368418E-7,6.991526610747673E-7,8.720044411467923E-7,2.8077971329595806E-6,0.1584192523473413,0.26566722843799845,0.2893932081107135,0.3018311168752443,0.3050856153993766,0.31220910221814296,0.3153855552328198,0.31774953285200974,0.33395808571945845,0.3364961886958195,0.35539560114744473,0.35618698410546196,0.3656313637756588,0.3848719421985394,0.4050576249392945,0.41299553977935893,0.41375758422496645,0.41960519162442006,0.45508422623281547,0.45951982526963087,0.48200527493120565,0.4825391255331084,0.48790399394135503,0.5087005198166249,0.5151246373915224,0.5610556795170794
0.7010000000000001,4.901219342281394E-9,1.8062385530001906E-8,5.975896197808025E-8,6.139197461273366E-8,1.80372554446372E-7,5.614156551755794E-7,8.668289969859776E-7,8.77738323378363E-7,0.17507271342991776,0.2798099630063053,0.29429205362125543,0.3433346762062073,0.3509012657127202,0.35387544065115517,0.3629381085015842,0.3629725821054852,0.3659643676774504,0.37783277014667793,0.3922846629047293,0.39778526885093596,0.3995335620535385,0.40191320487775983,0.4285704654378402,0.44942580636256274,0.44957099726034944,0.45452759030726186,0.4575955078869081,0.48153441170923084,0.5123945114258339,0.5135791074042172,0.5152366755459589,0.5196096714587286,0.5389772413346043,0.5699236013657933,0.5867986634012163
0.801,5.651405284561932E-9,9.663997217038751E-9,1.530429346878154E-7,1.5439560582331377E-7,2.0752725226268892E-7,2.411529099950375E-7,4.641162676626225E-7,7.535897192921867E-7,8.760101822349289E-7,0.19010307505317675,0.26797433920271146,0.31783562367979873,0.35666775773165155,0.3794716954782337,0.40111731885805874,0.4035672283075932,0.41123905537742206,0.41182259338082056,0.4119016907363369,0.42600685452860915,0.4411049609052676,0.4421104642794399,0.4437774376853512,0.4526048241552244,0.46459794931878495,0.4866490254080134,0.48876209805212106,0.4934286983409648,0.5128876157744078,0.5229736260151238,0.5465078665110265,0.5501378655954455,0.5539253895048979,0.554757797827177,0.5666801849160155
0.901,9.563565394278796E-10,2.639324768545612E-9,1.635074639960436E-8,3.8054825373132856E-8,1.080694236447434E-7,5.28948086719152E-7,7.977959530773702E-7,8.717280533531572E-7,0.20215462290240432,0.2575380309861463,0.33685683846050757,0.36388145269241395,0.3711859618599095,0.4465979669730704,0.4487811549809437,0.4529093963451539,0.45736100325792467,0.45998896005601697,0.4614203485531796,0.47130696011865314,0.483772741858016,0.4871214840149037,0.48992917517125256,0.5043516236089031,0.5263154607846253,0.5292164132213403,0.5316239478282393,0.5327580505816437,0.5337248844983437,0.547506316901074,0.5512105705825228,0.5520099328130934,0.5548477310155543,0.5575469169655419,0.5611528789167846
